#num	clst	ipv	ip	tcp	qopt	ittl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
38	0x08	0x00	0x40	0x02	0x0040	128	0	0	32768,2	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8		 Windows
39	0x08	0x00	0x40	0x02	0x0040	128	0	0	2097152,8	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8		 Windows
40	0x08	0x00	0x40	0x02	0x0040	128	0	0	32768,2	5	0x02,0x01,0x03,0x04,0x08	0	1	1	31	win	Windows	7 or 8		 Windows
41	0x02	0x00	0x40	0x02	0x0040	64	0	1380	353280,6	6	0x02,0x01,0x01,0x08,0x01,0x03	0	1	1	32	win	Windows	7 (Websense crawler)		 Robots with distinctive fingerprints:
42	0x02	0x00	0x40	0x02	0x0040	64	0	1380	706560,7	6	0x02,0x01,0x01,0x08,0x01,0x03	0	1	1	32	win	Windows	7 (Websense crawler)		 Robots with distinctive fingerprints:
43	0x18	0x00	0x40	0x02	0x0040	128	0	0	16384,0	4	0x02,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
44	0x18	0x00	0x40	0x02	0x0040	128	0	0	65535,0	4	0x02,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
45	0x18	0x00	0x40	0x02	0x0040	128	0	0	16384,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
46	0x18	0x00	0x40	0x02	0x0040	128	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
47	0x18	0x00	0x40	0x02	0x0040	128	0	0	8192,0	4	0x02,0x01,0x01,0x04	0	1	1	43	win	Windows	NT kernel 6.x		 Robots with distinctive fingerprints:
48	0x18	0x00	0x40	0x02	0x0040	128	0	0	8192,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	43	win	Windows	NT kernel 6.x		 Robots with distinctive fingerprints:
49	0x18	0x00	0x40	0x02	0x0040	128	0	0	0,0	4	0x02,0x01,0x01,0x04	0	1	1	41	win	Windows	NT kernel		 Robots with distinctive fingerprints:
50	0x18	0x00	0x40	0x02	0x0040	128	0	0	0,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	41	win	Windows	NT kernel		 Robots with distinctive fingerprints:
51	0x08	0x00	0x40	0x02	0x0040	64	0	0	131070,1	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x		 Mac OS
52	0x08	0x00	0x40	0x02	0x0040	64	0	0	524280,3	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x		 Mac OS
53	0x08	0x00	0x40	0x02	0x0040	64	0	0	1048560,4	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	6	unix	MacOSX	10.9 or newer (sometimes iPhone or iPad)		 Mac OS
54	0x08	0x00	0x40	0x02	0x0040	64	0	0	262140,2	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	9	40	unix	iOS	iPhone or iPad		 Mac OS
55	0x18	0x00	0x40	0x02	0x0040	64	0	0	65535,0	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	0	unix	MacOSX			 Mac OS
56	0x08	0x00	0x40	0x02	0x0040	64	0	0	4194240,6	5	0x02,0x01,0x03,0x04,0x08	0	2	4	38	unix	FreeBSD	9.x or newer		 FreeBSD
57	0x08	0x00	0x40	0x02	0x0040	64	0	0	524280,3	5	0x02,0x01,0x03,0x04,0x08	0	2	4	35	unix	FreeBSD	8.x		 FreeBSD
